latitude,longitude,name,station_id
30.27041,-97.75046,West & 6th St.,2537
30.26452,-97.7712,Barton Springs Pool,2572
30.27595,-97.74739,ACC - Rio Grande & 12th,2545
30.2848,-97.72756,Red River & LBJ Library,1004
30.26694,-97.74939,Nueces @ 3rd,1008
30.26751,-97.74802,Republic Square,2500
30.24891,-97.75019,South Congress & Elizabeth,2504
30.26461,-97.73049,Waller & 6th St.,2536
30.26217,-97.72743,Plaza Saltillo,2542
30.28576,-97.74181,UT West Mall @ Guadalupe,2548
30.27336,-97.73805,State Capitol Visitors Garage @ San Jacinto & 12th,2561
30.26735,-97.73933,Trinity & 6th Street,2565
30.26717,-97.75484,Pfluger Bridge @ W 2nd Street,2566
30.26854,-97.73646,Red River & 8th Street,2571
30.25802,-97.7391,Rainey @ River St,2576
30.25579,-97.73982,Rainey St @ Cummings,2707
30.26911,-97.7462,Guadalupe & 6th,3294
30.27466,-97.77028,MoPac Pedestrian Bridge @ Veterans Drive,3377
30.25839,-97.74592,South Congress & Barton Springs at the Austin American-Statesman,3513
30.26697,-97.74929,Nueces & 3rd,3621
30.26332,-97.74508,Congress & Cesar Chavez,3684
30.27217,-97.75246,Henderson & 9th,3685
30.26406,-97.76385,Sterzing at Barton Springs,3686
30.27907,-97.73715,State Parking Garage @ Brazos & 18th,1005
30.25103,-97.74926,South Congress & James,2503
30.2659,-97.76822,Zilker Park,2574
30.26304,-97.75824,Toomey Rd @ South Lamar,2712
30.26774,-97.74692,Republic Square @ Guadalupe & 4th St.,2550
30.26912,-97.73986,San Jacinto & 8th Street,2562
30.25226,-97.74854,South Congress & Academy,2570
30.26446,-97.75665,Riverside @ S. Lamar,2575
30.27193,-97.73854,11th & San Jacinto,3291
30.26753,-97.74805,Republic Square @ Federal Courthouse Plaza,3455
30.26889,-97.74525,Lavaca & 6th,1007
30.25895,-97.71475,East 6th & Pedernales St.,2544
30.26032,-97.71899,East 6th at Robert Martinez,2822
30.25987,-97.72373,East 4th & Chicon,3292
30.25542,-97.71665,East 2nd & Pedernales,3293
30.27186,-97.73997,OFFICE/Main/Shop/Repair,1001
30.25971,-97.75346,Palmer Auditorium,2567
30.26455,-97.73165,Medina & East 6th,3660
30.26483,-97.739,Convention Center / 4th St. @ MetroRail,2498
30.26426,-97.74023,Convention Center / 3rd & Trinity,2539
30.26019,-97.73845,Davis at Rainey Street,2563
30.26896,-97.72843,East 11th St. at Victory Grill,2568
30.26968,-97.73074,East 11th St. & San Marcos,2569
30.2587,-97.74872,Barton Springs & Riverside,2502
30.27624,-97.74831,ACC - West & 12th Street,2546
30.262,-97.76118,Barton Springs @ Kinney Ave,2711
30.26383,-97.72864,6th & Navasota St.,1002
30.27106,-97.74563,8th & Guadalupe,1003
30.26587,-97.76826,Zilker Park West,1006
30.2698,-97.74186,8th & Congress,2496
30.2726,-97.74127,Capitol Station / Congress & 11th,2497
30.26476,-97.74678,City Hall / Lavaca & 2nd,2499
30.25941,-97.74971,Long Center @ South 1st & Riverside,2549
30.28118,-97.75219,Pease Park,3464
30.28039,-97.73809,Bullock Museum @ Congress & MLK,2538
30.27974,-97.74254,17th & Guadalupe,2540
30.28395,-97.74198,Guadalupe & 21st,2547
30.2563,-97.71007,Capital Metro HQ - East 5th at Broadway,2823
30.26025,-97.71002,East 7th & Pleasant Valley,3381
30.26754,-97.74154,Brazos & 6th,3390
30.26822,-97.74285,6th & Congress,3619
30.27616,-97.74488,13th & San Antonio,3635
30.25457,-97.74258,Boardwalk West,3687
30.26408,-97.74355,2nd & Congress,2494
30.26634,-97.74378,4th & Congress,2495
30.2678,-97.75189,3rd & West,2552
30.2696,-97.75332,5th & Bowie,2501
30.26416,-97.73289,5th & San Marcos,2564
30.27654,-97.74155,State Capitol @ 14th & Colorado,2541
