index,Player,NBA_DraftNumber,Salary,Signed Using,Guaranteed,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%
0,Zhou Qi,43,"$815,615",MLE,"$815,615",22,HOU,16,87,0.6,0.303,0.593,0.37,6.5,16.8,11.7,1.5,1.1,6.8
1,Zaza Pachulia,42,"$3,477,600",,"$3,477,600",33,GSW,66,937,16.8,0.608,0.004,0.337,11,25,18.5,15.4,1.9,1.3
2,Zach Randolph,19,"$12,307,692",Cap space,"$24,000,000",36,SAC,59,1508,17.3,0.529,0.193,0.14,7,23.8,15,14.9,1.4,0.6
3,Zach LaVine,13,"$3,202,217",1st Round Pick,"$3,202,217",22,CHI,24,656,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5
4,Zach Collins,10,"$3,057,240",1st Round Pick,"$6,686,160",20,POR,62,979,8.2,0.487,0.387,0.146,4.9,18.3,11.7,7.3,0.8,2.5
5,Yogi Ferrell,62,"$1,312,611",Minimum Salary,"$1,312,611",24,DAL,79,2238,11.5,0.543,0.489,0.141,1.3,11.3,6.1,13.3,1.4,0.3
6,Xavier Silas,62,"$74,159",,$0,30,BOS,2,7,-4.9,0,0.667,0,15.9,15.4,15.7,0,7.2,0
7,Xavier Rathan-Mayes,62,"$46,080",,$0,23,MEM,5,118,0.9,0.315,0.333,0.214,0,5,2.5,23.2,2.6,2.4
8,Xavier Munford,62,$0,,$0,25,MIL,6,21,-2.1,0.218,0.333,0.333,5.6,0,2.8,24.7,2.4,0
9,Wilson Chandler,23,"$12,016,854",,"$12,016,854",30,DEN,70,2200,11.1,0.543,0.39,0.186,5,14,9.5,9.7,0.9,1.4
10,Willy Hernangomez,35,"$1,435,750",Cap Space,"$2,980,701",23,TOT,45,430,20.6,0.592,0.075,0.555,13.6,25.2,19.3,11,1.8,2.8
11,Willy Hernangomez,35,"$1,435,750",Cap Space,"$2,980,701",23,CHO,19,197,25,0.589,0.092,0.815,17.2,29.8,23.4,7.1,2,3
12,Willy Hernangomez,35,"$1,435,750",Cap Space,"$2,980,701",23,NYK,26,233,16.9,0.595,0.062,0.346,10.5,21.3,16,14.4,1.7,2.6
13,Willie Reed,62,"$1,577,230",,"$1,577,230",27,LAC,39,419,19.4,0.669,0.017,0.458,9.3,21.9,15.7,3.3,1,4.4
14,Willie Reed,62,"$1,577,230",,"$1,577,230",27,TOT,42,428,19.2,0.671,0.017,0.455,9.1,21.7,15.5,3.6,1,4.3
15,Willie Reed,62,"$1,577,230",,"$1,577,230",27,DET,3,9,8.7,1,0,0,0,12.5,6.1,15.9,0,0
16,Willie Cauley-Stein,6,"$3,704,160",1st round pick,"$8,401,035",24,SAC,70,1943,17.1,0.523,0.017,0.32,7.2,21.7,14.1,13.5,1.9,3.1
17,Will Barton,40,"$3,533,333",Bird Rights,"$3,533,333",27,DEN,77,2530,15.9,0.557,0.409,0.221,2.9,14.2,8.6,18.5,1.6,1.6
18,Wesley Matthews,62,"$17,884,176",Cap Space,"$17,884,176",31,DAL,63,2131,11.4,0.541,0.577,0.145,1.4,9.1,5.2,12.3,1.8,0.7
19,Wesley Johnson,4,"$5,881,260",Cap Space,"$5,881,260",30,LAC,70,1422,9.8,0.512,0.484,0.157,2.1,14,8.1,5.3,2.5,3.6
20,Wesley Iwundu,33,"$1,050,000",,"$2,428,242",23,ORL,58,902,7.6,0.464,0.205,0.215,4,11.8,7.9,7.9,1.7,1
21,Wayne Selden,62,"$1,312,611",,"$2,085,087",23,MEM,35,692,11.8,0.551,0.454,0.219,2.6,6.9,4.7,16.1,1.3,0.7
22,Wayne Ellington,28,"$6,270,000",Cap Space,"$6,270,000",30,MIA,74,1962,12.1,0.582,0.83,0.113,1.2,10.9,6.1,6,1.3,0.3
23,Wade Baldwin,17,"$1,874,400",,"$1,874,400",21,POR,4,29,17,0.73,0.143,1.286,0,18.6,9.4,10.7,0,0
24,Vince Hunter,62,"$50,000",,"$50,000",23,MEM,4,7,35.9,0.6,0,0,32.3,17,24.8,0,0,13.4
25,Vince Carter,5,"$8,000,000",Cap space,"$8,000,000",41,SAC,55,971,10.6,0.519,0.584,0.126,1.9,14.9,8.1,9.3,2.1,2.5
26,Victor Oladipo,2,"$21,000,000",1st Round Pick,"$84,000,000",25,IND,72,2471,23.1,0.576,0.324,0.28,2.1,15.1,8.7,21,3.4,2
27,Vander Blue,62,"$50,000",,"$50,000",25,LAL,5,45,-1.8,0.255,0.4,0.4,0,2.4,1.2,8.1,1.1,0
28,Udonis Haslem,62,"$2,328,652",Minimum Salary,"$2,328,652",37,MIA,14,72,1.8,0.252,0.533,0.133,4.7,10.9,7.8,9.2,0,2.4
29,Tyus Jones,24,"$1,471,382",1st Round pick,"$3,915,435",21,MIN,78,1404,14.1,0.574,0.372,0.247,1.3,9.4,5.3,20.9,3.2,0.4
30,Tyson Chandler,2,"$13,000,000",Cap Space,"$26,585,000",35,PHO,46,1151,14.3,0.657,0,0.503,12.2,26.9,19.4,6.6,0.7,1.9
31,Tyrone Wallace,60,$0,,$0,23,LAC,26,732,10.6,0.519,0.156,0.332,2.6,11.5,7.1,11.5,1.6,1.5
32,Tyreke Evans,4,"$3,290,000",Bi-annual Exception,"$3,290,000",28,MEM,52,1607,21.2,0.561,0.354,0.258,3.1,16.3,9.5,31.5,1.8,1
33,Tyler Zeller,17,"$1,709,538",,"$1,709,538",28,MIL,20,322,17,0.58,0.022,0.189,14.4,18.6,16.5,7.4,1.1,3.2
34,Tyler Zeller,17,"$1,709,538",,"$1,709,538",28,TOT,62,1025,15.9,0.585,0.088,0.241,11,19.6,15.2,6.8,0.7,2.5
35,Tyler Zeller,17,"$1,709,538",,"$1,709,538",28,BRK,42,703,15.4,0.587,0.114,0.262,9.4,20,14.6,6.5,0.6,2.2
36,Tyler Ulis,34,"$1,312,611",Cap Space,"$1,312,611",22,PHO,68,1563,9.7,0.459,0.267,0.183,1.5,6.8,4.1,27.5,2,0.3
37,Tyler Lydon,24,"$1,579,440",1st Round Pick,"$3,454,080",21,DEN,1,2,0,,,,0,0,0,0,0,0
38,Tyler Johnson,62,"$5,881,260",Cap Space,"$25,126,630",25,MIA,69,1964,13,0.55,0.46,0.186,1.8,11.5,6.6,12.3,1.4,1.4
39,Tyler Ennis,18,"$1,524,305",Minimum Salary,"$1,524,305",23,LAL,50,584,10.4,0.459,0.265,0.108,2.9,11.6,7.3,21.9,1.9,1.4
40,Tyler Dorsey,41,"$815,615",Minimum Salary,"$2,193,857",21,ATL,53,897,9.3,0.478,0.52,0.157,2.1,13.2,7.7,13.2,0.9,0.4
41,Tyler Cavanaugh,62,"$679,919",Two-Way Converted,"$729,919",23,ATL,39,518,13,0.567,0.586,0.138,9.7,17.7,13.7,7.9,0.8,0.7
