SKUPNO število testiranj,SKUPNO dnevno število testiranj,Dnevno število PCR testiranj,SKUPNO število pozitivnih oseb,SKUPNO DNEVNO število pozitivnih oseb,Skupno število hospitaliziranih oseb na posamezni dan,Skupno število oseb na intenzivni negi na posamezni dan,Dnevno število odpuščenih oseb iz bolnišnic,Skupno število umrlih
3863.0,1045.0,1045.0,131.0,49.0,17.0,2.0,0.0,0.0
5060.0,1197.0,1197.0,179.0,48.0,21.0,4.0,0.0,0.0
5976.0,916.0,916.0,215.0,36.0,28.0,3.0,0.0,1.0
6566.0,590.0,590.0,250.0,35.0,31.0,3.0,0.0,1.0
7437.0,871.0,871.0,277.0,27.0,32.0,3.0,0.0,1.0
8558.0,1121.0,1121.0,287.0,10.0,34.0,5.0,3.0,1.0
9584.0,1026.0,1026.0,319.0,32.0,43.0,6.0,3.0,1.0
10768.0,1184.0,1184.0,342.0,23.0,45.0,6.0,12.0,1.0
12010.0,1242.0,1242.0,368.0,26.0,55.0,9.0,8.0,1.0
12882.0,872.0,872.0,406.0,38.0,56.0,9.0,2.0,1.0
13613.0,731.0,731.0,440.0,34.0,55.0,10.0,4.0,1.0
14870.0,1257.0,1257.0,476.0,36.0,64.0,10.0,3.0,3.0
16113.0,1243.0,1243.0,526.0,50.0,72.0,14.0,2.0,4.0
17294.0,1181.0,1181.0,562.0,36.0,98.0,17.0,5.0,5.0
18369.0,1075.0,1075.0,632.0,61.0,90.0,22.0,6.0,7.0
19756.0,1387.0,1387.0,684.0,52.0,90.0,25.0,6.0,9.0
20753.0,997.0,997.0,730.0,46.0,101.0,23.0,0.0,11.0
21349.0,569.0,569.0,756.0,26.0,115.0,28.0,3.0,11.0
22474.0,1125.0,1125.0,802.0,46.0,119.0,28.0,7.0,13.0
23762.0,1288.0,1288.0,841.0,39.0,119.0,31.0,8.0,15.0
24857.0,1095.0,1095.0,897.0,56.0,112.0,29.0,4.0,16.0
25921.0,1064.0,1064.0,934.0,37.0,112.0,30.0,5.0,20.0
27109.0,1188.0,1188.0,977.0,43.0,109.0,31.0,10.0,22.0
27764.0,655.0,655.0,997.0,20.0,108.0,31.0,5.0,28.0
28253.0,489.0,489.0,1021.0,24.0,114.0,30.0,4.0,30.0
29455.0,1055.0,1055.0,1055.0,35.0,111.0,31.0,13.0,36.0
30669.0,1214.0,1214.0,1091.0,36.0,111.0,35.0,5.0,40.0
31813.0,1144.0,1144.0,1124.0,33.0,108.0,34.0,8.0,43.0
33047.0,1234.0,1234.0,1160.0,36.0,106.0,36.0,9.0,45.0
34279.0,1232.0,1232.0,1188.0,28.0,94.0,37.0,11.0,50.0
34851.0,572.0,572.0,1205.0,17.0,95.0,35.0,2.0,53.0
35405.0,554.0,554.0,1212.0,7.0,95.0,34.0,2.0,55.0
